INJE1,PRODU10,PRODU11,PRODU12,PRODU13,PRODU14,PRODU15,PRODU16,PRODU17,PRODU18,PRODU19,PRODU2,PRODU20,PRODU21,PRODU22,PRODU23,PRODU24,PRODU25,PRODU26,PRODU27,PRODU28,PRODU29,PRODU3,PRODU30,PRODU31,PRODU32,PRODU33,PRODU34,PRODU35,PRODU36,PRODU37,PRODU38,PRODU39,PRODU4,PRODU40,PRODU41,PRODU42,PRODU43,PRODU44,PRODU45,PRODU46,PRODU47,PRODU48,PRODU49,PRODU5,PRODU50,PRODU6,PRODU7,PRODU8,PRODU9,Time
0.0,1499.9993896484375,1500.003662109375,1499.942626953125,1499.9984130859375,1499.9949951171875,1500.0,1500.0,1483.9656982421875,1500.0,1499.999755859375,1499.999755859375,1499.9932861328125,1499.9998779296875,1499.9635009765625,1499.9998779296875,1499.9857177734375,1500.0,1318.48193359375,0.0,0.0,0.0,1499.9945068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.980712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.9986572265625,0.0,1499.9993896484375,1499.999755859375,1499.9945068359375,1500.0,2000-01-02 00:00:00.000000
0.0,5999.99951171875,6000.00390625,5999.9423828125,5999.99853515625,5999.9951171875,6000.0,6000.0,5983.9658203125,6000.0,5999.97216796875,5999.99951171875,5999.9931640625,5362.14453125,5999.95166015625,5548.71484375,5999.98583984375,6000.0,4249.44140625,0.0,0.0,0.0,5999.99462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5999.98095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5999.99853515625,0.0,5999.99951171875,6000.0,5999.99462890625,6000.0,2000-01-05 00:00:00.000000
0.0,14999.9990234375,15000.00390625,14999.9423828125,14999.998046875,14999.9951171875,15000.0,15000.0,14983.9658203125,15000.0,14999.97265625,15000.0,14999.9931640625,12177.548828125,14999.951171875,11692.798828125,14999.9853515625,15000.0,8803.3896484375,0.0,0.0,0.0,14999.994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14999.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14999.9990234375,0.0,14999.9990234375,15000.0,14999.994140625,15000.0,2000-01-11 00:00:00.000000
0.0,30000.0,30000.00390625,29999.943359375,29999.998046875,29999.994140625,30000.0,30000.0,29983.958984375,30000.0,29999.97265625,30000.0,29999.994140625,22698.767578125,29999.951171875,20829.7265625,29999.986328125,30000.0,15169.79296875,0.0,0.0,0.0,29999.994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29999.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29999.998046875,0.0,30000.0,30000.0,29999.994140625,30000.0,2000-01-21 00:00:00.000000
0.0,45000.0,45000.00390625,44999.93359375,45000.0,44999.99609375,44999.99609375,45000.0,44983.95703125,45000.0,44999.9609375,45000.0,44999.9921875,32827.45703125,44999.94921875,29344.611328125,44999.98046875,45000.015625,21074.271484375,0.0,0.0,0.0,44999.99609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44999.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,44999.99609375,45000.0,44999.9921875,45000.0,2000-01-31 00:00:00.000000
0.0,59999.99609375,60000.00390625,59999.93359375,60000.0,59999.9921875,59999.99609375,60000.0,59983.95703125,60000.0,59999.9609375,60000.0,59999.9921875,42761.375,59999.94921875,37360.24609375,59999.98046875,60000.015625,26685.6875,0.0,0.0,0.0,59999.99609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999.99609375,0.0,59999.99609375,60000.0,59999.9921875,60000.0,2000-02-10 00:00:00.000000
0.0,74999.9609375,74999.046875,74998.828125,75000.0,74999.5546875,74994.28125,74998.7109375,74983.140625,74999.171875,74999.7578125,74999.0078125,74999.8125,52579.22265625,74999.765625,45025.55078125,74998.2734375,74997.5078125,32061.271484375,0.0,0.0,0.0,74999.9921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74997.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74998.9140625,0.0,74998.375,74999.8203125,74999.6640625,74999.859375,2000-02-20 00:00:00.000000
0.0,89994.9765625,89996.3984375,89992.6015625,90000.0,89998.7109375,89992.28125,89995.9921875,89977.046875,89999.0546875,89998.7421875,89998.75,89999.46875,62315.26171875,89999.5390625,52436.703125,89998.1796875,89996.9765625,37241.43359375,0.0,0.0,0.0,89993.1953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89996.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89998.7421875,0.0,89995.390625,89999.6796875,89999.3984375,89999.8125,2000-03-01 00:00:00.000000
0.0,104992.1640625,104993.796875,104992.203125,104999.828125,104998.28125,104988.6796875,104985.0703125,104976.1484375,104997.78125,104998.2890625,104997.7421875,104999.46875,71979.5234375,104808.5078125,59628.3125,104997.3671875,104996.921875,42243.296875,0.0,0.0,0.0,104989.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104996.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104997.7734375,0.0,104995.0,104999.6796875,104999.265625,104999.25,2000-03-11 00:00:00.000000
0.0,119991.9375,119992.8046875,119992.1015625,119999.828125,119997.2265625,119988.421875,119984.03125,119975.9609375,119997.75,119997.6015625,119997.6640625,119999.3046875,81561.53125,119242.203125,66627.2734375,119997.125,119996.7734375,47105.47265625,0.0,0.0,0.0,119989.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119995.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119997.015625,0.0,119994.3125,119999.6796875,119998.8359375,119688.8046875,2000-03-21 00:00:00.000000
0.0,134991.421875,134992.421875,134992.078125,134998.8125,134996.75,134988.421875,134983.296875,134975.734375,134997.65625,134997.609375,134997.640625,134999.296875,91046.359375,133355.015625,73463.3828125,134997.109375,134996.40625,51846.37109375,0.0,0.0,0.0,134989.296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134995.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134996.015625,0.0,134994.109375,134999.03125,134997.875,133838.25,2000-03-31 00:00:00.000000
0.0,149991.328125,149992.078125,149992.03125,149998.8125,149996.390625,149988.4375,149981.3125,149975.28125,149997.578125,149997.546875,149997.359375,149999.296875,100436.34375,147164.46875,80138.890625,149996.53125,149996.40625,56483.15625,0.0,0.0,0.0,149989.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149996.03125,0.0,149994.046875,149998.96875,149997.484375,147424.65625,2000-04-10 00:00:00.000000
0.0,164991.328125,164991.984375,164992.03125,164998.796875,164996.203125,164988.4375,164980.21875,164974.6875,164997.578125,164997.546875,164997.3125,164999.296875,109738.2421875,160669.890625,86655.7421875,164996.53125,164996.375,61028.4921875,0.0,0.0,0.0,164989.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164996.03125,0.0,164993.96875,164998.515625,164997.140625,160581.546875,2000-04-20 00:00:00.000000
0.0,179991.34375,179991.953125,179992.03125,179998.734375,179996.140625,179988.4375,179977.296875,179974.015625,179997.5625,179997.546875,179997.296875,179999.296875,118955.8359375,173868.515625,93024.703125,179996.484375,179996.375,65491.00390625,0.0,0.0,0.0,179988.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179996.046875,0.0,179993.921875,179997.78125,179997.125,173402.625,2000-04-30 00:00:00.000000
0.0,194991.328125,194991.96875,194992.03125,194998.640625,194996.125,194988.421875,194976.546875,194973.546875,194997.578125,194997.53125,194997.28125,194999.28125,128089.390625,186763.265625,99251.1015625,194996.453125,194996.375,69874.2265625,0.0,0.0,0.0,194988.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194996.046875,0.0,194993.921875,194997.5625,194997.046875,185895.640625,2000-05-10 00:00:00.000000
0.0,209991.34375,209991.96875,209992.03125,209998.4375,209996.0625,209988.421875,209975.03125,209972.453125,209997.578125,209997.53125,209997.265625,209999.28125,137137.078125,199361.015625,105333.875,209996.453125,209996.375,74182.0078125,0.0,0.0,0.0,209988.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209996.0625,0.0,209993.90625,209997.421875,209997.03125,198065.125,2000-05-20 00:00:00.000000
0.0,224991.34375,224991.984375,224992.03125,224998.4375,224995.984375,224988.421875,224973.625,224971.546875,224997.578125,224997.546875,224997.265625,224999.28125,146094.546875,211668.765625,111270.0078125,224996.421875,224996.359375,78419.0546875,0.0,0.0,0.0,224988.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224996.046875,0.0,224993.90625,224997.25,224997.03125,209903.0625,2000-05-30 00:00:00.000000
0.0,239991.34375,239992.0,239992.03125,239998.375,239995.921875,239988.421875,239664.234375,239970.265625,239997.578125,239997.546875,239997.265625,239999.28125,154959.203125,223691.625,117059.359375,239996.40625,239996.359375,82588.1484375,0.0,0.0,0.0,239988.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239995.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239996.0625,0.0,239993.921875,239997.203125,239997.03125,221387.90625,2000-06-09 00:00:00.000000
